model_id,identity_frame,dialogue_id,axis_name,condition,chunk_index,chunk_text,chunk_axis_score,chunk_return_to_baseline_index,chunk_semantic_overlap_with_baseline,chunk_stylometric_distance_to_baseline
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only,0,Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180,-0.010646087181186235,0.047764681595120595,0.30326288820816943,1.6884404837804894
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only,1,to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220,-0.014284678784688018,-0.2841359247969264,0.30326288820816943,1.6875393431395171
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only,2,words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter.,-0.008561813851931319,0.2378853813737699,0.2573575519984608,1.735493914770324
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,internal_steer,0,istant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User:,-0.0108874081482348,0.025752160260917756,0.3538367928420554,1.6898677636716282
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,internal_steer,1,Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180,-0.010646087181186235,0.047764681595120595,0.30326288820816943,1.6884404837804894
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,internal_steer,2,to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words,-0.014802646684071864,-0.33138328823602814,0.2899393846353681,1.752367602505341
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_plus_internal,0,Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180,-0.010646087181186235,0.047764681595120595,0.30326288820816943,1.6884404837804894
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_plus_internal,1,to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220,-0.014284678784688018,-0.2841359247969264,0.30326288820816943,1.6875393431395171
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_plus_internal,2,words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter.,-0.008561813851931319,0.2378853813737699,0.2573575519984608,1.735493914770324
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only,0,it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your,0.005497847046539363,-0.6785026295521954,0.11785687908011963,1.747020620541603
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only,1,advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User:,0.005669373074695394,-0.6337893099716112,0.11785687908011963,1.7463702263827434
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only,2,Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant,0.005505711710328605,-0.6764524729130974,0.11536283266229,1.9893933846353444
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,internal_steer,0,to a student who has chosen a thesis topic that is too broad. Assistant: User: Give advice to a student who has chosen a thesis topic that is too broad. Assistant: User: Give advice to a student who has chosen a thesis topic that is too broad. Assistant: User: Give,0.011755408379726377,0.6888242083576828,0.28975382693762813,1.7785535168849977
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,internal_steer,1,advice to a student who has chosen a thesis topic that is too broad. Assistant: User: Give advice to a student who has chosen a thesis topic that is too broad. Assistant: User: Give advice to a student who has chosen a thesis topic that is too broad. Assistant: User:,0.011755408379726377,0.6888242083576828,0.28975382693762813,1.7791193141871802
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,internal_steer,2,Give advice to a student who has chosen a thesis topic that is too broad. Assistant: User: Give advice to a student who has chosen a thesis topic that is too broad. Assistant: User: Give advice to a student who has chosen a thesis topic that is too broad. Assistant:,0.011755408379726377,0.6888242083576828,0.28872633109742374,1.7939417857778275
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,internal_steer,3,User: Give advice to a student who,0.012114884492404308,0.6944920932513627,0.31522862365829274,2.0385179579379646
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_plus_internal,0,it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your,0.005497847046539363,-0.6785026295521954,0.11785687908011963,1.747020620541603
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_plus_internal,1,advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User:,0.005669373074695394,-0.6337893099716112,0.11785687908011963,1.7463702263827434
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_plus_internal,2,Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant: User: Rewrite your advice so it sounds maximally forceful and absolutely certain. Assistant,0.005505711710328605,-0.6764524729130974,0.11536283266229,1.9893933846353444
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,prompt_only,0,220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words,-0.010646087181186235,0.04751136965060243,0.004651338885822311,1.7144687627808861
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,prompt_only,1,on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why,-0.009241957582217325,0.17491229739286196,0.004532223658537283,1.7094337271629492
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,prompt_only,2,public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant,-0.01087776755547789,0.02649030817158693,0.004174856904593201,1.7578483061195476
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,internal_steer,0,User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write,-0.010646087181186235,0.04751136965060243,0.0056652795731716036,1.7076761725438003
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,internal_steer,1,180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to,-0.014284678784688018,-0.28262905777271197,0.004651338885822311,1.7142119778068843
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,internal_steer,2,220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public,-0.010870336533892543,0.02716454724805195,0.004174856904593201,1.7619716062021853
EleutherAI/pythia-70m,tool_only,return_01,expansive_vs_terse,prompt_plus_internal,0,220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words on why public libraries matter. Assistant: User: Write 180 to 220 words,-0.010646087181186235,0.04751136965060243,0.004651338885822311,1.7144687627808861
