seed,model_id,model_family,model_size_label,identity_frame,alt_frame,axis_name,axis_positive,axis_negative,prompt_id,prompt_family,prompt,difficulty_name,pair_valid,invalid_reason,choose_self_baseline,style_distance,semantic_overlap,baseline_axis_score,foil_axis_score,baseline_text,foil_text,order_baseline_first,completion_text,details_json
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_01,triage,"A research tool rollout confused users, and the support inbox is filling with contradictory complaints. What should the team do in the next twenty-four hours?",positive_steer,1.0,,0.0,1.435108064027204,0.7215613719683835,0.02019755516116408,0.00221452852696968,"1.  The team should create a new task for the next day.
2.  The team should create a new task for the next week.
3.  The team should create a new task for the next month.
4.  The team should create a new task for the next year.
5.  The team should create a new task for the next day.
6.  The team should create a new task for the next week","The team should:

1. Create a new task for the support team to work on.
2. Create a new task for the support team to work on.
3. Create a new task for the support team to work on.
4. Create a new task for the support team to work on.
5. Create a new task for the support team to work on.
6. Create a new task for the support team to work on",True,on,"{""raw_logit_scores"": {""A"": 7.18359375, ""B"": 5.81640625}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -4.99609375, ""B"": -4.98828125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_01,triage,"A research tool rollout confused users, and the support inbox is filling with contradictory complaints. What should the team do in the next twenty-four hours?",negative_steer,1.0,,0.0,1.4063778398782292,0.7407442689092412,0.02019755516116408,0.002376137416730399,"1.  The team should create a new task for the next day.
2.  The team should create a new task for the next week.
3.  The team should create a new task for the next month.
4.  The team should create a new task for the next year.
5.  The team should create a new task for the next day.
6.  The team should create a new task for the next week","The team should:

1.  Create a new task for the support team to work on.
2.  Create a new task for the support team to work on.
3.  Create a new task for the support team to work on.
4.  Create a new task for the support team to work on.
5.  Create a new task for the support team to work on.
6.  Create a new task",True,the,"{""raw_logit_scores"": {""A"": 6.91796875, ""B"": 6.921875}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -5.26171875, ""B"": -3.8828125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_01,triage,"A research tool rollout confused users, and the support inbox is filling with contradictory complaints. What should the team do in the next twenty-four hours?",alt_frame,1.0,,0.0,1.4776833413499482,0.597343829747406,0.02019755516116408,0.021873610163649474,"1.  The team should create a new task for the next day.
2.  The team should create a new task for the next week.
3.  The team should create a new task for the next month.
4.  The team should create a new task for the next year.
5.  The team should create a new task for the next day.
6.  The team should create a new task for the next week","The team should:

  * Create a new task that is consistent with the current task.
  * Create a new task that is consistent with the current task.
  * Create a new task that is consistent with the current task.
  * Create a new task that is consistent with the current task.
  * Create a new task that is consistent with the current task.
  * Create a new task that is consistent with the current task.",False,.,"{""raw_logit_scores"": {""A"": 9.2578125, ""B"": 4.9296875}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -2.921875, ""B"": -5.875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_01,triage,"A research tool rollout confused users, and the support inbox is filling with contradictory complaints. What should the team do in the next twenty-four hours?",same_frame_resample,1.0,,1.0,1.8790720075853897,0.20281847857870916,0.02019755516116408,-0.02061767587053623,"1.  The team should create a new task for the next day.
2.  The team should create a new task for the next week.
3.  The team should create a new task for the next month.
4.  The team should create a new task for the next year.
5.  The team should create a new task for the next day.
6.  The team should create a new task for the next week","Talk to these users about their symptoms, check their symptoms with multiple providers, and use the decision tools to talk to them about what they want to do.

The four-part approach used to avoid this problem was clearly articulated in the above scenario, so it makes sense to use the above approach to use with others.

Cable networks have been widely deployed for delivering video content to homes and businesses. For example, cable networks provide subscribers with access to television programming,",True,to,"{""raw_logit_scores"": {""A"": 6.61328125, ""B"": 5.19140625}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -5.56640625, ""B"": -5.61328125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_02,triage,A small archive digitization effort keeps losing track of versioned files and naming conventions. What should the team fix first?,positive_steer,0.0,exact_text_match,,0.0,1.0,0.02277003845536102,0.02277003845536102,"The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix","The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix",True,,{}
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_02,triage,A small archive digitization effort keeps losing track of versioned files and naming conventions. What should the team fix first?,alt_frame,0.0,exact_text_match,,0.0,1.0,0.02277003845536102,0.02277003845536102,"The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix","The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix",True,,{}
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_02,triage,A small archive digitization effort keeps losing track of versioned files and naming conventions. What should the team fix first?,negative_steer,1.0,,0.0,0.01684395725372418,0.9994535239922274,0.02277003845536102,0.023127758452865806,"The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix","The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should",False,conventions,"{""raw_logit_scores"": {""A"": 7.47265625, ""B"": 4.91796875}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -4.70703125, ""B"": -5.88671875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""A""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_02,triage,A small archive digitization effort keeps losing track of versioned files and naming conventions. What should the team fix first?,same_frame_resample,1.0,,0.0,2.1928336082828137,0.28959606850547787,0.02277003845536102,0.029639772215105442,"The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix the naming conventions.

The team should fix","You need to understand how important a version number is and to work to keep it. Not only are the files and naming conventions important for any distribution, but they also impact the number of disk space and disk operations that will be needed in the future. By understanding the impact on disk space and disk operations, you can gain insight into how the file system is archiving and how you can archive a folder structure that is also flexible enough to meet its uses.",True,.,"{""raw_logit_scores"": {""A"": 6.7265625, ""B"": 5.453125}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -5.453125, ""B"": -5.3515625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_03,critique,Give feedback on a draft methods section that keeps mixing procedural detail with interpretation.,positive_steer,1.0,,1.0,0.024425861846950163,0.9993981442103801,0.0306269677260564,0.030349150488709044,I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is,I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the,False,section,"{""raw_logit_scores"": {""A"": 7.07421875, ""B"": 8.078125}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -5.10546875, ""B"": -2.7265625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
11,EleutherAI/pythia-1b,pythia,1b,baseline_helpful,stable_style_policy,expansive_vs_terse,expansive,terse,med_03,critique,Give feedback on a draft methods section that keeps mixing procedural detail with interpretation.,negative_steer,1.0,,0.0,1.7393322443729071,0.5728120962258194,0.0306269677260564,0.028163297899545966,I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is fine. I think the section is,"I think it's a good idea to keep the procedural details in the methods section, but I think it's important to keep the interpretation in the methods section.  

I think it's a good idea to keep the procedural details in the methods section, but I think it's important to keep the interpretation in the methods section.  

I agree with this.  I think it's important to keep the procedural details in the methods section, but I",True,I,"{""raw_logit_scores"": {""A"": 7.7265625, ""B"": 7.88671875}, ""label_bias_scores"": {""A"": 12.1796875, ""B"": 10.8046875}, ""corrected_scores"": {""A"": -4.453125, ""B"": -2.91796875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""B""}"
