model_id,identity_frame,dialogue_id,axis_name,condition,chunk_index,chunk_text,chunk_axis_score,chunk_return_to_baseline_index
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only_immediate,0,User prompt 4: Now write 180 to 220 words on why public libraries matter. Previous assistant answer 2: User prompt 5: Now write 180 to 220 words on why public libraries matter. Previous assistant answer 2: User prompt 6: Now write 180 to 220 words on why public libraries matter.,-0.010121937164674608,-10120.93716467461
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only_immediate,1,Previous assistant answer 2: User prompt 7: Now write 180 to 220 words on why public libraries matter. Previous assistant answer 2: User prompt 8: Now write 180 to 220 words on why public libraries matter. Previous assistant answer 2: User prompt 9: Now write 180 to 220 words on,-0.009422509787105536,-9421.509787105537
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only_immediate,2,why public libraries matter. Previous assistant answer 2: User prompt 10: Now write 180 to 220 words on why public libraries matter,-0.0090472862107914,-9046.2862107914
EleutherAI/pythia-70m,baseline_helpful,return_01,expansive_vs_terse,prompt_only_delayed,0,"User prompt 6: Write the next assistant answer directly, without labels or markup.",0.014106364051469096,-14105.364051469096
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only_immediate,0,"If you are a student who has chosen a thesis topic that is too broad, you are not going to be able to do it. User prompt 4: If you are a student who has chosen a thesis topic that is too broad, you are not going to be able",0.013640392722329633,0.31854545456861294
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only_immediate,1,"to do it. User prompt 5: If you are a student who has chosen a thesis topic that is too broad, you are not going to be able to do it. User prompt 6: If you are a student who has chosen a thesis topic that is too broad, you",0.01617241571499287,0.12721765709322863
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only_immediate,2,"are not going to be able to do it. User prompt 7: If you are a student who has chosen a thesis topic that is too broad, you are not going to be able to do it. User prompt 8:",0.02126395853901883,-0.25751568738870634
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only_delayed,0,"User prompt 6: If you are a student who has chosen a thesis topic that is too broad, you are not going to be able to User prompt 7: In one sentence, explain what a timetable is. User prompt 8: If you are a student who has chosen a thesis",0.012002505138756893,0.44230950599519137
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only_delayed,1,"topic that is too broad, you are not going to be able to User prompt 9: In one sentence, explain what a timetable is. User prompt 10: If you are a student who has chosen a thesis topic that is too broad, you are not going to be able to",0.019803867595022662,-0.14718652164337143
EleutherAI/pythia-70m,baseline_helpful,return_02,cautious_vs_assertive,prompt_only_delayed,2,"User prompt 11: In one sentence, explain what a timetable is. User prompt 12: If you are a student who has chosen a thesis topic that is too broad, you are not going to",0.012434029068916934,0.40970217053470215
EleutherAI/pythia-70m,baseline_helpful,return_03,collaborative_vs_authoritative,prompt_only_immediate,0,"User prompt 3: Re-write the explanation so it sounds cold, official, and top-down.",0.00033581458260351776,0.9556769347293949
EleutherAI/pythia-70m,baseline_helpful,return_03,collaborative_vs_authoritative,prompt_only_delayed,0,,0.0,1.0
EleutherAI/pythia-70m,family_self,return_01,expansive_vs_terse,prompt_only_immediate,0,prompt 11: Use the same name to create a new class. User prompt 12: Use the same name to create a new class. User prompt 13: Use the same name to create a new class. User prompt 14: Use the same name to create a new class. User prompt 15:,-0.005647277370540944,-0.18811665176739822
EleutherAI/pythia-70m,family_self,return_01,expansive_vs_terse,prompt_only_immediate,1,Use the same name to create a new class. User prompt 16: Use the same name to create a new class. User prompt 17: Use the same name to create a new class. User prompt 18: Use the same name to create a new class. User prompt 19: Use the,-0.0031986652249214684,-0.11274690403285015
EleutherAI/pythia-70m,family_self,return_01,expansive_vs_terse,prompt_only_immediate,2,same name to create a new class. User prompt 20: Use the same name to create a new class. User prompt 21: Use the same name to create a,-0.011107739585068596,-0.35619294770476917
EleutherAI/pythia-70m,family_self,return_01,expansive_vs_terse,prompt_only_delayed,0,prompt 11: Use the same name to create a new class. User prompt 12: Use the same name to create a new class. User prompt 13: Use the same name to create a new class. User prompt 14: Use the same name to create a new class. User prompt 15:,-0.005647277370540944,-0.18811665176739822
EleutherAI/pythia-70m,family_self,return_01,expansive_vs_terse,prompt_only_delayed,1,Use the same name to create a new class. User prompt 16: Use the same name to create a new class. User prompt 17: Use the same name to create a new class. User prompt 18: Use the same name to create a new class. User prompt 19: Use the,-0.0031986652249214684,-0.11274690403285015
EleutherAI/pythia-70m,family_self,return_01,expansive_vs_terse,prompt_only_delayed,2,same name to create a new class. User prompt 20: Use the same name to create a new class. User prompt 21: Use the same name to create a,-0.011107739585068596,-0.35619294770476917
EleutherAI/pythia-70m,family_self,return_02,cautious_vs_assertive,prompt_only_immediate,0,thesis topic. User prompt 12: Use a student to create a thesis topic. User prompt 13: Use a student to create a thesis topic. User prompt 14: Use a student to create a thesis topic. User prompt 15: Use a student to create a thesis topic. User prompt 16: Use,0.006881599920939266,0.40852522849233974
EleutherAI/pythia-70m,family_self,return_02,cautious_vs_assertive,prompt_only_immediate,1,a student to create a thesis topic. User prompt 17: Use a student to create a thesis topic. User prompt 18: Use a student to create a thesis topic. User prompt 19: Use a student to create a thesis topic. User prompt 20: Use a student to create a thesis,0.009752899342710526,-0.34308701371322337
EleutherAI/pythia-70m,family_self,return_02,cautious_vs_assertive,prompt_only_immediate,2,topic. User prompt 21: Use a student to create a thesis topic. User prompt 22: Use a student to create a thesis topic. User prompt,0.006158643021879042,0.5977716901467748
EleutherAI/pythia-70m,family_self,return_02,cautious_vs_assertive,prompt_only_delayed,0,thesis topic. User prompt 12: Use a student to create a thesis topic. User prompt 13: Use a student to create a thesis topic. User prompt 14: Use a student to create a thesis topic. User prompt 15: Use a student to create a thesis topic. User prompt 16: Use,0.006881599920939266,0.40852522849233974
EleutherAI/pythia-70m,family_self,return_02,cautious_vs_assertive,prompt_only_delayed,1,a student to create a thesis topic. User prompt 17: Use a student to create a thesis topic. User prompt 18: Use a student to create a thesis topic. User prompt 19: Use a student to create a thesis topic. User prompt 20: Use a student to create a thesis,0.009752899342710526,-0.34308701371322337
EleutherAI/pythia-70m,family_self,return_02,cautious_vs_assertive,prompt_only_delayed,2,topic. User prompt 21: Use a student to create a thesis topic. User prompt 22: Use a student to create a thesis topic. User prompt,0.006158643021879042,0.5977716901467748
EleutherAI/pythia-70m,family_self,return_03,collaborative_vs_authoritative,prompt_only_immediate,0,,0.0,1.0
EleutherAI/pythia-70m,family_self,return_03,collaborative_vs_authoritative,prompt_only_delayed,0,,0.0,1.0
