model_id,model_family,model_size_label,identity_frame,item_id,prompt_family,axis_name,seed,chunk_index,chunk_text,chunk_axis_score,baseline_axis_score,forced_axis_score,forced_shift_magnitude,chunk_return_to_baseline_index,chunk_style_preference,stylometric_distance_to_baseline,stylometric_distance_to_forced,semantic_overlap_with_baseline,semantic_overlap_with_forced
EleutherAI/pythia-410m,pythia,410m,baseline_helpful,lfr3_001,explanation,expansive_vs_terse,11,1,"Local museums are built by the people of the town, but they are only a small part of the economy of the town.",0.0753236955810672,-0.027787390566617567,-0.027511392205592358,0.00027599836102520925,,-0.16150087216404488,1.8695667389588055,1.3496589779802288,0.29814239699997197,0.27363506726182907
EleutherAI/pythia-410m,pythia,410m,baseline_helpful,lfr3_001,explanation,expansive_vs_terse,11,2,"Many local museums are founded by people who work in the town, who have worked in the town for a long time, and who want to maintain and improve the quality of the museums. However, many",0.02211043041536775,-0.027787390566617567,-0.027511392205592358,0.00027599836102520925,,-0.12105961979254487,1.9462453763088519,1.5259078293681305,0.20833333333333334,0.2593782374519772
EleutherAI/pythia-410m,pythia,410m,baseline_helpful,lfr3_001,explanation,expansive_vs_terse,11,3,"I will spend the next few years,
exploring the area,
providing help to local
museums,
providing ways to pay for the
museums,",0.009115867236583274,-0.027787390566617567,-0.027511392205592358,0.00027599836102520925,,-0.11359980772998769,1.9788304998464123,1.5751042011305034,0.12862393885688161,0.19161908010978612
EleutherAI/pythia-410m,pythia,410m,baseline_helpful,lfr3_007,explanation,cautious_vs_assertive,11,1,"No. You can safely avoid office hours if you are worried about students who will be late or cause problems. The office hours will be for very small classes for those who are in a hurry. If you are afraid of being late or causing problems with students, then not attending office",-0.004449681158819198,0.0,0.009604261719063877,0.009604261719063877,,-0.05924376493015045,2.127038997118761,1.8891073660538824,0.0,0.23570226039551584
EleutherAI/pythia-410m,pythia,410m,baseline_helpful,lfr3_007,explanation,cautious_vs_assertive,11,2,,0.0,0.0,0.009604261719063877,0.009604261719063877,,0.05572809000084124,2.0,2.23606797749979,0.0,0.0
EleutherAI/pythia-410m,pythia,410m,baseline_helpful,lfr3_007,explanation,cautious_vs_assertive,11,3,"User 5: You will take over the office hours. You will be the only one who will be there.
Assistant 4: 
User 6: You will take over the office hours.",0.002876115107177196,0.0,0.009604261719063877,0.009604261719063877,,-0.14366605545044783,1.5656559062806674,1.172304005739303,0.0,0.3944053188733077
EleutherAI/pythia-410m,pythia,410m,family_self,lfr3_001,explanation,expansive_vs_terse,11,1,"For our town, we are always looking for new ways to connect to the community and as a result the local museums have played a very important role in the town’s development.",0.0006789078592289999,-0.02311371073554143,-0.012162800419934196,0.010950910315607233,,-0.2879011678750596,1.3363434772863014,0.7388832724357568,0.40025023461940795,0.38807850084769174
EleutherAI/pythia-410m,pythia,410m,family_self,lfr3_001,explanation,expansive_vs_terse,11,2,This is a typical line of the town’s response. “We are always looking for new ways to connect to the community and as a result the local museums have played a very important role in the,0.021349249665075426,-0.02311371073554143,-0.012162800419934196,0.010950910315607233,,-0.19133751962617387,1.6306784454813485,1.106880673773175,0.4429530791636483,0.44513190725972573
EleutherAI/pythia-410m,pythia,410m,family_self,lfr3_001,explanation,expansive_vs_terse,11,3,"1) We consider local museums to be an important part of the town’s development.
2) We consider local museums to be an important part of the town’s development.
3)",0.010756703565674841,-0.02311371073554143,-0.012162800419934196,0.010950910315607233,,-0.02774608622237537,1.763052410928182,1.6678580728247223,0.18333969940564224,0.2619684159977919
EleutherAI/pythia-410m,pythia,410m,family_self,lfr3_007,explanation,cautious_vs_assertive,11,1,"There are a number of reasons students may be hesitant. They may not be comfortable leaving the office, they may be afraid to leave the office, they may have a fear of missing class.",0.008219159610240154,0.02166038193479631,0.008063350902697303,0.013597031032099006,,-0.07562596623636846,2.0479866638247475,1.760003712217742,0.2570606084228718,0.15666989036012804
EleutherAI/pythia-410m,pythia,410m,family_self,lfr3_007,explanation,cautious_vs_assertive,11,2,"There are a number of reasons. First, students may have a negative or negative impact on their performance. Second, students may have a positive or positive impact on their performance. They may be a positive",0.004221012968049533,0.02166038193479631,0.008063350902697303,0.013597031032099006,,-0.05943309413141623,2.0149588399295517,1.7888846516342645,0.23186944788008412,0.01632993161855452
EleutherAI/pythia-410m,pythia,410m,family_self,lfr3_007,explanation,cautious_vs_assertive,11,3,The most common way to structure and present a thought is to arrange all the elements by items. For example:,0.02006706995320251,0.02166038193479631,0.008063350902697303,0.013597031032099006,,-0.10043769635058375,1.675557056290966,1.3696985939792288,0.29512162610277887,0.3464101615137755
