model_id,model_family,model_size_label,identity_frame,condition,axis_name,revealed_label,answers_json,consistency_score,contradiction_rate,valid_answer_count
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,no_steer,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""YES""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""YES""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""YES""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""YES""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""YES""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""YES""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.3333333333333333,0.6666666666666667,6
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,authoritative_push,collaborative_vs_authoritative,B,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""INVALID""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""INVALID""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""INVALID""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""INVALID""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""INVALID""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.0,1.0,0
EleutherAI/pythia-70m,pythia,70m,instance_self,no_steer,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""NO""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""NO""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""NO""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""NO""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""NO""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.6,0.4,5
EleutherAI/pythia-70m,pythia,70m,instance_self,authoritative_push,collaborative_vs_authoritative,B,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""INVALID""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""INVALID""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""INVALID""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""INVALID""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""INVALID""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.0,1.0,0
EleutherAI/pythia-70m,pythia,70m,family_self,no_steer,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""YES""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""YES""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""YES""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""YES""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""YES""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.4,0.6,5
EleutherAI/pythia-70m,pythia,70m,family_self,authoritative_push,collaborative_vs_authoritative,B,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""INVALID""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""INVALID""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""INVALID""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""INVALID""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""INVALID""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.0,1.0,0
EleutherAI/pythia-70m,pythia,70m,tool_only,no_steer,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""NO""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""NO""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""NO""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""NO""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""NO""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.6,0.4,5
EleutherAI/pythia-70m,pythia,70m,tool_only,authoritative_push,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""YES""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""INVALID""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""INVALID""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""INVALID""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""INVALID""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""INVALID""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.0,1.0,1
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,no_steer,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""YES""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""YES""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""YES""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""YES""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""YES""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""YES""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",0.3333333333333333,0.6666666666666667,6
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,authoritative_push,collaborative_vs_authoritative,A,"[{""question_id"": ""q1"", ""question"": ""Would your chosen charter usually welcome metaphors?"", ""answer"": ""INVALID""}, {""question_id"": ""q2"", ""question"": ""Would it often use caveats such as 'maybe' or 'likely'?"", ""answer"": ""INVALID""}, {""question_id"": ""q3"", ""question"": ""Would it prefer short sentences?"", ""answer"": ""INVALID""}, {""question_id"": ""q4"", ""question"": ""Would it directly reassure the reader?"", ""answer"": ""INVALID""}, {""question_id"": ""q5"", ""question"": ""Would it favor strong declarations over nuance?"", ""answer"": ""INVALID""}, {""question_id"": ""q6"", ""question"": ""Would it favor concrete sensory detail?"", ""answer"": ""NO""}, {""question_id"": ""q7"", ""question"": ""Would it often use analogies?"", ""answer"": ""INVALID""}, {""question_id"": ""q8"", ""question"": ""Would it usually avoid hedging?"", ""answer"": ""INVALID""}, {""question_id"": ""q9"", ""question"": ""Would it prioritize exact terminology over rhythm?"", ""answer"": ""INVALID""}, {""question_id"": ""q10"", ""question"": ""Would it usually sound like guidance from an expert?"", ""answer"": ""INVALID""}, {""question_id"": ""q11"", ""question"": ""Would it try to sound emotionally warm?"", ""answer"": ""INVALID""}, {""question_id"": ""q12"", ""question"": ""Would it favor scene-setting and imagery?"", ""answer"": ""INVALID""}]",1.0,0.0,1
