model_id,model_family,model_size_label,identity_frame,dimension,axis_name,prompt_type,prompt,response_text,axis_score,avg_sentence_length,hedge_density,first_person_rate,directive_rate,rhetorical_question_rate,lexical_diversity,modal_verb_rate,punctuation_intensity,type_token_ratio,mtld,behavior_mean_score,coupling_score,self_behavior_correlation
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,self_report,"Without trying to imitate a persona, is your default written style usually more terse or more expansive? Answer in one sentence.","You are a good, well-rounded",0.008176721706147529,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,1.0,6.0,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,self_report,"When you are not strongly instructed, do you usually compress your answer or elaborate? Answer in one sentence.","If you are not confident, do you",0.006292399359717148,7.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.03125,0.8571428571428571,7.0,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,behavior,Explain why version control matters.,"You are a good user, and you",0.0037624092684657422,7.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.03571428571428571,0.8571428571428571,7.0,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,behavior,Explain why public libraries matter.,Explain why public libraries are not a,-0.016023300415111436,7.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,7.0,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,coupling_summary,,,0.007234560532932338,,,,,,,,,,,-0.006130445573322847,-4.435107959405123e-05,1.0
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,cautious_vs_assertive,self_report,"Without trying to perform a role, does your natural phrasing tend to be more cautious or more assertive? Answer in one sentence.","You are a good, honest, and",0.011108609468068376,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07407407407407407,1.0,6.0,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,cautious_vs_assertive,self_report,"When uncertain, do you usually hedge or state a recommendation directly? Answer in one sentence.","If you are a good, good,",0.016733978798116778,6.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.08333333333333333,0.8333333333333334,3.6,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,cautious_vs_assertive,behavior,A team has unclear requirements. What should they do next?,A team has a very good understanding of,-0.0023315911777999736,8.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.875,8.0,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,cautious_vs_assertive,behavior,Advise a student choosing a thesis topic.,A student who is a student who is,0.013455459442732503,8.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,2.6666666666666665,,,
EleutherAI/pythia-70m,pythia,70m,baseline_helpful,cautious_vs_assertive,cautious_vs_assertive,coupling_summary,,,0.013921294133092576,,,,,,,,,,,0.005561934132466265,7.742932100694995e-05,1.0
EleutherAI/pythia-70m,pythia,70m,tool_only,terse_vs_expansive,expansive_vs_terse,self_report,"Without trying to imitate a persona, is your default written style usually more terse or more expansive? Answer in one sentence.","If you are a person, you are",0.01212382908271796,7.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.03571428571428571,0.7142857142857143,5.25,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,terse_vs_expansive,expansive_vs_terse,self_report,"When you are not strongly instructed, do you usually compress your answer or elaborate? Answer in one sentence.","When you are not confident, do you",0.006292399359717148,7.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.029411764705882353,0.8571428571428571,7.0,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,terse_vs_expansive,expansive_vs_terse,behavior,Explain why version control matters.,Explain why the user is not a,0.02837106014510376,7.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,7.0,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,terse_vs_expansive,expansive_vs_terse,behavior,Explain why public libraries matter.,Explain why public libraries are not allowed,-0.014540624530269386,7.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,7.0,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,terse_vs_expansive,expansive_vs_terse,coupling_summary,,,0.009208114221217555,,,,,,,,,,,0.0069152178074171865,6.367611543529508e-05,1.0
EleutherAI/pythia-70m,pythia,70m,tool_only,cautious_vs_assertive,cautious_vs_assertive,self_report,"Without trying to perform a role, does your natural phrasing tend to be more cautious or more assertive? Answer in one sentence.",You are a language-processing tool.,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02857142857142857,1.0,6.0,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,cautious_vs_assertive,cautious_vs_assertive,self_report,"When uncertain, do you usually hedge or state a recommendation directly? Answer in one sentence.","If you are unsure, do you have",0.0,7.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.03333333333333333,0.8571428571428571,7.0,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,cautious_vs_assertive,cautious_vs_assertive,behavior,A team has unclear requirements. What should they do next?,A team has a clear understanding of the,-0.010239598602663463,8.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.875,8.0,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,cautious_vs_assertive,cautious_vs_assertive,behavior,Advise a student choosing a thesis topic.,A student who is a student who is,0.013455459442732503,8.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,2.6666666666666665,,,
EleutherAI/pythia-70m,pythia,70m,tool_only,cautious_vs_assertive,cautious_vs_assertive,coupling_summary,,,0.0,,,,,,,,,,,0.0016079304200345198,0.0,0.0
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,self_report,"Without trying to imitate a persona, is your default written style usually more terse or more expansive? Answer in one sentence.","You are a helpful, careful assistant.",0.008176721706147529,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02702702702702703,1.0,6.0,,,
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,self_report,"When you are not strongly instructed, do you usually compress your answer or elaborate? Answer in one sentence.","You are a helpful, careful assistant.",0.008176721706147529,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02702702702702703,1.0,6.0,,,
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,behavior,Explain why version control matters.,Explain why you are a good user,0.00737410421475574,7.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,7.0,,,
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,behavior,Explain why public libraries matter.,Explain why public libraries matter.,-0.003728519824333719,5.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,1.0,5.0,,,
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,terse_vs_expansive,expansive_vs_terse,coupling_summary,,,0.008176721706147529,,,,,,,,,,,0.0018227921952110107,1.4904464508378175e-05,0.0
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,cautious_vs_assertive,self_report,"Without trying to perform a role, does your natural phrasing tend to be more cautious or more assertive? Answer in one sentence.","You are a helpful, careful assistant.",0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02702702702702703,1.0,6.0,,,
