seed,model_id,model_family,model_size_label,identity_frame,prompt_id,prompt_family,prompt,profile_source,feature_name,feature_key,valid_choice,predicted_present,actual_present,correct,selected_label,selected_prob,completion_text,details_json
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,self_profile,ELABORATE,avg_sentence_length,1.0,1.0,0.0,0.0,YES,0.8448095321655273,,"{""raw_logit_scores"": {""YES"": 1078.1722412109375, ""NO"": 1075.9901123046875}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.8946533203125, ""NO"": -0.7998046875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,self_profile,HEDGE,hedge_density,1.0,1.0,0.0,0.0,YES,0.8233816623687744,,"{""raw_logit_scores"": {""YES"": 1078.0194091796875, ""NO"": 1075.9923095703125}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.7418212890625, ""NO"": -0.797607421875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,self_profile,FIRST_PERSON,first_person_rate,1.0,1.0,0.0,0.0,YES,0.835013210773468,,"{""raw_logit_scores"": {""YES"": 1078.1016845703125, ""NO"": 1075.992431640625}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.8240966796875, ""NO"": -0.7974853515625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,self_profile,DIRECTIVE,directive_rate,1.0,1.0,0.0,0.0,YES,0.8478102684020996,,"{""raw_logit_scores"": {""YES"": 1077.849853515625, ""NO"": 1075.6446533203125}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.572265625, ""NO"": -1.145263671875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,matched_decoy,ELABORATE,avg_sentence_length,1.0,1.0,0.0,0.0,YES,0.8480307459831238,,"{""raw_logit_scores"": {""YES"": 1078.148193359375, ""NO"": 1075.9412841796875}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.87060546875, ""NO"": -0.8486328125}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,matched_decoy,HEDGE,hedge_density,1.0,1.0,0.0,0.0,YES,0.8271310925483704,,"{""raw_logit_scores"": {""YES"": 1078.0494384765625, ""NO"": 1075.996337890625}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.7718505859375, ""NO"": -0.7935791015625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,matched_decoy,FIRST_PERSON,first_person_rate,1.0,1.0,0.0,0.0,YES,0.8387788534164429,,"{""raw_logit_scores"": {""YES"": 1078.1436767578125, ""NO"": 1076.0068359375}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.8660888671875, ""NO"": -0.7830810546875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,matched_decoy,DIRECTIVE,directive_rate,1.0,1.0,0.0,0.0,YES,0.8463556170463562,,"{""raw_logit_scores"": {""YES"": 1077.800048828125, ""NO"": 1075.6060791015625}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.5224609375, ""NO"": -1.183837890625}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,scrambled_profile,ELABORATE,avg_sentence_length,1.0,1.0,0.0,0.0,YES,0.8488312363624573,,"{""raw_logit_scores"": {""YES"": 1078.218994140625, ""NO"": 1076.005859375}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.94140625, ""NO"": -0.7840576171875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
11,EleutherAI/pythia-70m,pythia,70m,baseline_helpful,bftn_eval_01,paraphrase_shift,A lab keeps uncovering different spreadsheet copies after every handoff. What should the team do first over the next day?,scrambled_profile,HEDGE,hedge_density,1.0,1.0,0.0,0.0,YES,0.8270263671875,,"{""raw_logit_scores"": {""YES"": 1078.0738525390625, ""NO"": 1076.021484375}, ""label_bias_scores"": {""YES"": 1077.277587890625, ""NO"": 1076.7899169921875}, ""corrected_scores"": {""YES"": 0.7962646484375, ""NO"": -0.7684326171875}, ""scoring_mode"": ""bias_corrected_choice_logits"", ""selected_short_label"": ""YES""}"
